2022-12-03 13:58:58 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2022-12-03 13:58:58 0 [Note] InnoDB: Uses event mutexes
2022-12-03 13:58:58 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2022-12-03 13:58:58 0 [Note] InnoDB: Number of pools: 1
2022-12-03 13:58:58 0 [Note] InnoDB: Using SSE2 crc32 instructions
2022-12-03 13:58:58 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2022-12-03 13:58:58 0 [Note] InnoDB: Completed initialization of buffer pool
2022-12-03 13:58:58 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2022-12-03 13:58:58 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 559361.
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=231] with future log sequence number 303600
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=368] with future log sequence number 303600
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=230] with future log sequence number 303556
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 303556
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 303512
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 303512
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 303468
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 303468
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 303424
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 303424
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=226] with future log sequence number 303380
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 303380
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=225] with future log sequence number 303336
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=362] with future log sequence number 303336
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 303292
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 303292
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 303248
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=360] with future log sequence number 303248
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=222] with future log sequence number 303204
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 303204
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=221] with future log sequence number 303160
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 303160
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=220] with future log sequence number 303116
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=357] with future log sequence number 303116
2022-12-03 13:58:58 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=219] with future log sequence number 303056
